name,priceReg,priceSale,ratingAvg,ratingCnt,category,keywords
"Boys' ""Camp sandwich"" T-shirt",,,,,boys,
"Boys' ""goal oriented"" T-shirt",,,,,boys,
"Boys' ""now or never"" T-shirt",,,,,boys,
Boys' striped long-sleeve Max the Monster T-shirt,,,,,boys,
Boys' wild animals graphic T-shirt,,,,,boys,
"Kids' ""animals of Central Park"" T-shirt",,,1,1,boys,
"Kids' ""Big news"" T-shirt",,,5,1,boys,
"Kids' ""Brain freezie""  T-shirt",,,2,4,boys,
Kids' Brooklyn T-shirt,,,,,boys,
"Kids' ""crab dab"" T-shirt",,,5,1,boys,
Kids' critter pocket T-shirt,,,3,2,boys,
"Kids' ""Destination everywhere"" T-shirt",,,5,1,boys,
"Kids' ""earth calling"" T-shirt",,,3,1,boys,
Kids' flip-sequin chameleon T-shirt,,,5,1,boys,
Kids' glow-in-the-dark octopus T-shirt,,,5,3,boys,
Kids' graphic crab T-shirt,,,,,boys,
Kids' long-sleeve flip sequin yeti T-shirt,,,,,boys,
Kids' long-sleeve letterman T-shirt,,,,,boys,
"Kids' long-sleeve ""one of a kind"" graphic T-shirt",,,,,boys,
Kids' long-sleeve rhino graphic T-shirt,,,,,boys,
Kids' long-sleeve snow leopard T-shirt,,,5,3,boys,
"Kids' long-sleeve ""So far, so good"" taco T-shirt",,,5,1,boys,
Kids' long-sleeve soccer ball T-shirt,,,,,boys,
"Kids' long-sleeve ""veg out"" T-shirt",,,,,boys,
Kids' Los Angeles Dodgers baseball T-shirt,,,,,boys,
Kids' Los Angeles Dodgers jersey,,,5,1,boys,
"Kids' ""Nature rocks"" T-shirt",,,,,boys,
Kids' New York Yankees T-shirt,,,5,1,boys,
"Kids' ""Only here 4 the candy"" T-shirt",,,5,1,boys,
Kids' sailboat appliqu_ T-shirt,,,,,boys,
Kids' shaka pocket T-shirt,,,,,boys,
Kids' short-sleeve bowling T-shirt,,,,,boys,
"Kids' short-sleeve ""rocket club"" T-shirt",,,,,boys,
Kids' short-sleeve tiger graphic T-shirt,,,5,1,boys,
Kids' sign language graphic T-shirt,,,,,boys,
Kids' sports graphic T-shirt,,,,,boys,
Kids' sunglasses dog graphic T-shirt,,,,,boys,
Kids' tennis racquet T-shirt,,,5,1,boys,
Kids' the Met X crewcuts ancient Egypt T-shirt,,,5,1,boys,
"Kids' tie-dye ""hang in there"" T-shirt",,,,,boys,
Kids' tie-dyed pocket T-shirt,,,5,1,boys,
Kids' wild graphic T-shirt,,,,,boys,
Boys' sleep boxers two-pack,,,,,boys,
Petite Plume_ boys' bunny ear eye mask set,$16.00 ,,,,boys,"Gingham,Cotton,Reusable,Set,Piping,Eye Mask,Classic & Minimalist,Ear Loop,Multi Color"
Boys' glow-in-the-dark pajama set in melting snowmen,,,5,5,boys,
Boys' long-sleeve waffle pajama set,,,5,1,boys,
Kids' long-sleeve pajama set in polar bears,,,5,1,boys,
Kids' long-sleeve pajama set in stripe,,,,,boys,
Kids' long-sleeve pajama set in tie-dye,,,5,2,boys,
Kids' long-sleeve sleep set in tartan,,,5,1,boys,
Kids' long-sleeve waffle pajama set,,,,,boys,
Boys' short-sleeve printed sleep set,,,5,2,boys,
Kids' cozy orca slippers,,,5,1,boys,
Boys' active dock pant,,,5,1,boys,
Kids' classic sweatshort in terry,$39.50 ,,4,9,boys,"Solid,Mid Rise,Above the Knee,Regular,Classic & Minimalist,Drawstring,Sweatshorts,Light to Mid Weight,Navy,Cotton,Straight Silhouette,Casual,Neutral,Dark"
Kids' french terry slim-slouchy sweatpant,,,4,5,boys,"Slim,Sweatpants,Lounge,Cotton,Navy,Joggers,Classic & Minimalist,Drawstring,Solid,Full,Dark,Neutral"
Boys' chino pant in stretch skinny fit,,,4,16,boys,
Boys' lightweight chino pant in straight fit,,,3,3,boys,
Boys' lightweight chino pant in stretch skinny fit,,,5,1,boys,
Boys' lined chino dock pant,,,,,boys,
Boys' lined stretch chino pull-on pant,,,5,1,boys,
Boys' relaxed-fit pull-on chino pant,,,4,3,boys,
Boys' stretch chino pant in slim fit,,,3,12,boys,
Boys' stretch-cotton pull-on pant in camo,,,,,boys,
Boys' Bryce wash run-around jean in pull-on fit,,,,,boys,
Boys' jersey-lined cozy jean in Tyner wash,,,5,2,boys,
Boys' Rinse wash runaround jean in slim fit,,,5,2,boys,
Boys' selvedge rinsed wash jean in slim fit,,,4,2,boys,
Boys' stretch jean in medium wash,$55.00 ,$49.99 ,3,7,boys,"Dark Blue,Belted,Casual,Classic & Minimalist,Whiskering,Straight,Elastane,Cotton,Faded/Sandwash"
Boys' well-worn wash jean in slim fit,,,2,4,boys,
Boys' wrinkle rinse wash in slim fit,,,4,8,boys,
Boys' cozy fleece jogger pant,,,4,3,boys,
Kids' cashmere jogger pant,,,3,3,boys,
Kids' colorblock sweatpant,,,,,boys,
Boys' button-up Hawaiian shirt,,,,,boys,
Boys' Harbor shirt in slub cotton,,,5,1,boys,
Boys' Harbor shirt in towel terry,,,,,boys,
Boys' Ludlow shirt in pink and green plaid,,,,,boys,
Boys' short-sleeve indigo camp shirt,,,,,boys,
Boys' button-down poplin shirt in plaid,,,2,4,boys,
Boys' quilted knit shirt,,,3,2,boys,
Kids' long-sleeve stretch poplin button-up in dot,,,,,boys,
Kids' oxford shirt in stripe,$45.00 ,$44.99 ,,,boys,"Pink,Relaxed,Classic & Minimalist,Cuffed Sleeve,Button Front,Light to Mid Weight,Below Hip,Curved Hem,High Neck,Stripes,Cloth,Collared,Oxford,Cotton,Light,Semi Formal,Patch Pocket,Long Sleeve"
Kids' short-sleeve camp shirt in linen-cotton blend,,,5,1,boys,
